firm_id,city_id,industry_id,size_class,employees,revenue_million,profit_million,profit_margin,tfp,agglomeration_spillover,export_ratio,rd_ratio,supply_chain_distance,age,city_population
28,119,16,micro,6,0.0,0.0,0.072,0.904,0.21,0.174,0.016,35.4,12,314.8
29,106,10,small,48,0.0,0.0,0.099,0.813,0.163,0.089,0.036,31.8,17,978.66
30,78,7,small,35,0.0,0.0,0.243,0.542,0.21,0.009,0.014,5.6,9,162.68
31,111,14,medium,6,0.0,0.0,0.541,0.736,0.163,0.076,0.029,43.1,3,144.53
32,138,16,micro,13,0.0,0.0,0.102,0.88,0.129,0.027,0.029,3.9,14,334.79
33,50,17,micro,1,0.0,0.0,0.214,0.759,0.129,0.15,0.018,9.1,6,205.22
34,115,2,micro,5,0.0,0.0,0.631,1.421,0.163,0.021,0.057,108.6,17,200.65
35,167,11,medium,7,0.0,0.0,0.695,1.361,0.282,0.157,0.025,10.9,16,989.1
36,55,13,small,20,0.0,0.0,0.129,1.036,0.163,0.039,0.021,15.8,4,376.64
37,113,2,large,168,0.01,0.0,0.493,1.065,0.387,0.199,0.07,45.0,2,1742.79
38,186,12,micro,7,0.0,0.0,0.144,1.406,0.21,0.042,0.015,63.8,7,238.23
39,164,0,micro,17,0.0,0.0,0.451,0.834,0.189,0.121,0.054,85.9,1,388.92
40,125,6,large,457,0.01,0.01,0.547,1.264,0.292,0.098,0.035,31.3,3,1326.71
41,156,3,small,10,0.0,0.0,0.396,0.663,0.292,0.202,0.078,52.5,2,958.89
42,113,11,micro,15,0.0,0.0,0.389,1.022,0.378,0.188,0.041,57.7,38,1742.79
43,194,3,micro,3,0.0,0.0,0.397,1.167,0.189,0.166,0.07,91.6,8,176.48
44,40,15,small,29,0.0,0.0,0.267,1.115,0.21,0.067,0.031,69.8,1,310.59
45,151,2,micro,3,0.0,0.0,0.112,1.223,0.129,0.136,0.054,115.8,2,209.86
46,1,15,small,31,0.0,0.0,0.205,1.146,0.163,0.181,0.025,0.6,20,129.25
47,31,1,medium,6,0.0,0.0,0.12,0.797,0.258,0.148,0.079,1.0,24,946.03
48,151,8,medium,21,0.0,0.0,0.318,0.982,0.129,0.026,0.026,158.5,7,209.86
49,156,13,small,11,0.0,0.0,0.193,1.474,0.282,0.145,0.026,10.7,20,958.89
50,6,3,medium,245,0.01,0.0,0.525,1.21,0.228,0.121,0.06,47.6,25,719.97
51,75,15,medium,26,0.0,0.0,0.342,1.068,0.189,0.04,0.028,26.9,1,337.61
52,30,19,small,12,0.0,0.0,0.406,0.489,0.163,0.008,0.013,33.8,29,81.31
53,179,7,small,12,0.0,0.0,0.278,1.73,0.368,0.194,0.047,11.9,57,1808.04
54,106,0,small,21,0.0,0.0,0.111,1.439,0.27,0.13,0.062,15.6,18,978.66
55,106,9,micro,7,0.0,0.0,0.328,1.276,0.292,0.22,0.035,94.6,13,978.66
56,167,18,medium,44,0.0,0.0,0.462,1.002,0.189,0.187,0.04,82.8,16,989.1
57,144,13,large,53,0.01,0.0,0.067,1.557,0.129,0.163,0.025,12.0,20,192.46
58,179,14,large,359,0.04,0.0,0.118,1.231,0.318,0.163,0.046,1.0,3,1808.04
59,179,15,medium,16,0.0,0.0,0.169,0.87,0.326,0.194,0.035,22.8,21,1808.04
60,73,18,medium,9,0.0,0.0,0.505,0.956,0.27,0.204,0.018,155.3,2,709.56
61,135,2,micro,7,0.0,0.0,0.061,1.106,0.292,0.048,0.076,27.4,25,699.2
62,118,11,medium,59,0.0,0.0,0.29,1.02,0.163,0.098,0.016,118.3,4,465.37
63,125,17,medium,169,0.0,0.0,0.183,1.108,0.282,0.095,0.036,134.7,1,1326.71
64,125,15,micro,12,0.0,0.0,0.189,1.297,0.333,0.265,0.034,106.4,17,1326.71
65,7,4,medium,27,0.0,0.0,0.158,0.606,0.163,0.06,0.067,49.9,3,319.72
66,179,17,medium,106,0.01,0.0,0.133,1.511,0.292,0.272,0.039,9.6,4,1808.04
67,31,5,small,18,0.0,0.0,0.306,1.633,0.163,0.238,0.037,67.5,1,946.03
68,101,8,micro,18,0.0,0.0,0.271,0.747,0.163,0.086,0.021,2.1,12,97.45
69,70,3,micro,9,0.0,0.0,0.091,0.99,0.163,0.062,0.06,2.5,18,213.02
70,119,17,micro,26,0.0,0.0,0.281,0.866,0.163,0.105,0.02,13.2,3,314.8
71,185,1,micro,4,0.0,0.0,0.36,0.785,0.21,0.031,0.058,16.0,5,303.08
72,96,19,micro,15,0.0,0.0,0.199,0.982,0.163,0.188,0.032,30.9,11,199.56
73,125,6,large,108,0.01,0.0,0.143,1.172,0.292,0.156,0.044,84.9,10,1326.71
74,31,14,small,66,0.01,0.0,0.347,1.386,0.258,0.078,0.031,42.1,4,946.03
75,107,2,small,18,0.0,0.0,0.258,1.09,0.129,0.138,0.065,189.8,1,176.72
76,179,9,medium,121,0.01,0.0,0.231,1.281,0.339,0.106,0.041,10.6,8,1808.04
77,179,0,medium,209,0.03,0.01,0.419,1.962,0.31,0.185,0.071,27.4,9,1808.04
78,118,17,small,7,0.0,0.0,0.498,1.348,0.189,0.201,0.02,81.4,13,465.37
79,159,8,small,3,0.0,0.0,0.616,1.201,0.163,0.155,0.026,21.3,2,286.16
80,0,14,medium,120,0.01,0.0,0.319,1.268,0.129,0.114,0.021,3.9,6,243.89
81,113,17,small,54,0.0,0.0,0.498,0.918,0.326,0.277,0.041,30.4,6,1742.79
82,155,1,medium,48,0.0,0.0,0.546,1.151,0.163,0.191,0.07,9.0,11,72.65
83,73,10,small,50,0.0,0.0,0.307,0.985,0.282,0.052,0.033,70.5,25,709.56
84,179,3,medium,141,0.01,0.0,0.122,1.55,0.352,0.118,0.078,50.7,10,1808.04
85,162,1,micro,1,0.0,0.0,0.361,1.299,0.21,0.057,0.072,24.7,14,472.76
86,159,12,micro,16,0.0,0.0,0.337,1.126,0.189,0.049,0.026,26.4,25,286.16
87,3,2,small,204,0.02,0.01,0.698,1.542,0.129,0.236,0.071,3.5,8,680.64
88,47,9,medium,83,0.0,0.0,0.301,0.763,0.163,0.158,0.027,0.6,11,427.14
89,149,3,micro,16,0.0,0.0,0.144,1.405,0.189,0.137,0.059,2.0,8,199.73
90,120,3,small,4,0.0,0.0,0.144,0.634,0.163,0.145,0.06,7.7,6,327.35
91,122,10,micro,6,0.0,0.0,0.049,0.87,0.228,0.222,0.024,25.3,5,603.53
92,3,11,micro,6,0.0,0.0,0.569,1.056,0.258,0.078,0.033,178.8,19,680.64
93,106,0,small,20,0.0,0.0,0.119,1.462,0.27,0.232,0.061,182.2,3,978.66
94,162,10,small,32,0.0,0.0,0.52,0.653,0.244,0.209,0.028,40.8,1,472.76
95,137,13,micro,3,0.0,0.0,0.472,1.11,0.129,0.2,0.027,7.6,17,107.55
96,122,13,medium,257,0.02,0.0,0.116,1.215,0.228,0.081,0.02,20.2,6,603.53
97,144,16,medium,19,0.0,0.0,0.165,1.711,0.189,0.114,0.026,73.0,7,192.46
98,173,17,micro,12,0.0,0.0,0.468,1.135,0.228,0.168,0.022,4.6,6,208.75
99,173,12,large,140,0.0,0.0,0.082,0.911,0.189,0.057,0.021,21.6,2,208.75
100,106,9,micro,4,0.0,0.0,0.144,1.154,0.292,0.108,0.023,54.5,11,978.66
101,71,4,micro,4,0.0,0.0,0.302,1.871,0.228,0.202,0.07,35.0,19,690.93
102,82,2,micro,21,0.0,0.0,0.294,0.711,0.163,0.067,0.063,10.7,34,650.6
103,113,12,micro,4,0.0,0.0,0.601,1.257,0.333,0.187,0.049,6.8,32,1742.79
104,20,18,micro,16,0.0,0.0,0.361,0.761,0.228,0.04,0.027,21.6,1,642.68
105,125,5,medium,61,0.0,0.0,0.229,0.831,0.318,0.269,0.042,0.6,1,1326.71
106,106,1,small,30,0.0,0.0,0.231,0.62,0.244,0.172,0.07,51.6,1,978.66
107,156,8,medium,37,0.0,0.0,0.463,1.467,0.282,0.235,0.027,95.0,3,958.89
108,67,0,micro,28,0.01,0.0,0.204,1.503,0.189,0.066,0.055,3.6,13,404.86
109,9,11,micro,2,0.0,0.0,0.308,0.916,0.163,0.178,0.023,29.3,11,255.33
110,179,0,small,78,0.0,0.0,0.378,1.067,0.31,0.221,0.085,52.3,16,1808.04
111,10,18,large,249,0.01,0.0,0.545,0.663,0.129,0.052,0.026,14.1,17,93.37
112,179,17,small,10,0.0,0.0,0.217,1.932,0.292,0.151,0.041,17.0,6,1808.04
113,113,2,micro,3,0.0,0.0,0.251,0.832,0.387,0.289,0.081,22.0,5,1742.79
114,7,2,small,49,0.0,0.0,0.119,0.936,0.189,0.197,0.069,13.0,1,319.72
115,31,19,medium,116,0.0,0.0,0.387,1.155,0.258,0.219,0.032,91.0,8,946.03
116,114,16,small,4,0.0,0.0,0.399,0.781,0.129,0.104,0.026,24.7,12,122.44
117,3,18,medium,19,0.0,0.0,0.133,2.089,0.258,0.043,0.031,14.5,18,680.64
118,179,6,small,35,0.0,0.0,0.244,1.29,0.292,0.235,0.035,70.8,8,1808.04
119,164,2,medium,68,0.0,0.0,0.163,1.143,0.129,0.164,0.067,1.6,20,388.92
120,113,12,small,39,0.0,0.0,0.084,0.772,0.333,0.173,0.04,72.9,8,1742.79
121,179,19,small,22,0.0,0.0,0.628,1.169,0.318,0.262,0.047,15.5,12,1808.04
122,65,2,small,23,0.0,0.0,0.36,0.945,0.189,0.124,0.057,54.8,18,576.08
123,174,16,micro,43,0.0,0.0,0.393,1.468,0.129,0.065,0.031,22.3,8,195.72
124,165,7,small,8,0.0,0.0,0.318,0.742,0.129,0.122,0.029,7.3,10,224.25
125,122,2,small,50,0.01,0.0,0.273,1.208,0.228,0.116,0.058,0.6,32,603.53
126,73,9,medium,74,0.0,0.0,0.781,0.586,0.27,0.07,0.018,25.0,11,709.56
127,119,9,micro,6,0.0,0.0,0.127,0.581,0.189,0.191,0.014,23.2,15,314.8
128,185,0,medium,42,0.01,0.0,0.231,0.926,0.129,0.129,0.062,68.0,2,303.08
129,20,9,micro,17,0.0,0.0,0.18,1.252,0.189,0.192,0.026,34.8,3,642.68
130,51,12,medium,55,0.0,0.0,0.278,1.343,0.163,0.118,0.025,12.6,13,100.98
131,134,15,micro,12,0.0,0.0,0.329,1.479,0.129,0.097,0.017,21.8,2,59.18
132,141,1,small,7,0.0,0.0,0.276,1.201,0.189,0.082,0.061,62.7,6,548.48
133,39,17,small,12,0.0,0.0,0.424,1.143,0.163,0.144,0.028,32.3,1,180.7
134,166,3,micro,3,0.0,0.0,0.204,0.747,0.189,0.124,0.06,22.2,9,337.67
135,179,13,small,50,0.01,0.0,0.387,1.956,0.346,0.296,0.048,59.3,3,1808.04
136,17,11,medium,63,0.01,0.01,0.45,0.714,0.163,0.148,0.021,2.6,3,203.21
137,191,17,large,21,0.0,0.0,0.687,1.138,0.244,0.147,0.032,85.3,4,349.46
138,67,0,large,110,0.0,0.0,0.258,0.883,0.189,0.043,0.061,44.2,9,404.86
139,71,3,medium,75,0.0,0.0,0.426,1.072,0.21,0.127,0.065,43.4,1,690.93
140,6,2,large,84,0.01,0.0,0.006,0.955,0.258,0.077,0.076,69.6,3,719.97
141,113,6,medium,135,0.01,0.0,0.358,1.998,0.31,0.121,0.049,17.7,15,1742.79
142,184,6,micro,3,0.0,0.0,0.301,1.068,0.129,0.089,0.018,57.0,1,118.69
143,38,1,medium,42,0.0,0.0,0.389,0.847,0.129,0.028,0.07,2.5,3,39.32
144,122,10,small,30,0.01,0.0,0.318,2.38,0.228,0.085,0.025,14.3,15,603.53
145,67,2,small,73,0.0,0.0,0.468,1.149,0.258,0.178,0.059,116.1,19,404.86
146,3,1,medium,45,0.01,0.0,0.499,1.893,0.163,0.233,0.069,39.5,5,680.64
147,194,0,medium,19,0.0,0.0,0.248,1.746,0.21,0.11,0.068,4.7,3,176.48
148,150,18,large,167,0.0,0.0,0.136,0.709,0.129,0.206,0.03,40.4,4,190.66
149,156,7,medium,109,0.02,0.0,0.19,1.754,0.258,0.132,0.03,113.5,38,958.89
150,136,5,micro,7,0.0,0.0,0.265,0.895,0.129,0.158,0.03,20.0,4,67.81
151,31,9,micro,18,0.0,0.0,0.521,0.603,0.282,0.22,0.038,6.7,4,946.03
152,53,3,small,14,0.0,0.0,0.447,1.46,0.163,0.192,0.065,69.4,6,273.6
153,87,8,small,9,0.0,0.0,0.503,0.782,0.163,0.046,0.027,7.3,2,206.18
154,197,3,micro,74,0.01,0.0,0.166,0.826,0.163,0.154,0.068,41.5,14,173.08
155,139,6,micro,134,0.02,0.0,0.218,1.508,0.129,0.086,0.026,10.2,2,43.34
156,106,18,micro,7,0.0,0.0,0.248,0.789,0.292,0.105,0.029,66.2,7,978.66
157,113,2,micro,15,0.0,0.0,0.373,1.38,0.387,0.18,0.074,35.4,5,1742.79
158,179,9,micro,13,0.0,0.0,0.25,1.839,0.339,0.249,0.038,44.1,2,1808.04
159,48,13,micro,16,0.0,0.0,0.551,2.043,0.163,0.189,0.025,109.0,6,209.27
160,73,18,micro,14,0.0,0.0,0.282,1.728,0.27,0.203,0.031,49.1,4,709.56
161,83,18,micro,4,0.0,0.0,0.333,0.947,0.129,0.108,0.021,11.1,14,88.39
162,179,4,micro,19,0.0,0.0,0.458,0.857,0.373,0.256,0.07,8.7,13,1808.04
163,161,18,small,129,0.02,0.01,0.448,1.9,0.163,0.103,0.024,5.7,18,326.06
164,125,6,small,11,0.0,0.0,0.316,1.05,0.292,0.128,0.036,29.0,6,1326.71
165,73,17,medium,19,0.0,0.0,0.238,1.227,0.21,0.133,0.019,33.1,10,709.56
166,51,1,small,23,0.0,0.0,0.417,1.444,0.189,0.145,0.062,5.7,6,100.98
167,73,3,small,12,0.0,0.0,0.177,1.038,0.27,0.118,0.061,31.2,1,709.56
168,179,1,small,310,0.05,0.02,0.485,2.282,0.352,0.149,0.082,60.3,2,1808.04
169,179,5,small,14,0.0,0.0,0.223,1.025,0.346,0.165,0.035,28.2,3,1808.04
170,99,17,large,111,0.01,0.0,0.225,1.164,0.189,0.079,0.013,16.8,2,117.38
171,73,3,micro,62,0.01,0.0,0.302,1.345,0.27,0.131,0.069,85.6,22,709.56
172,179,4,micro,3,0.0,0.0,0.401,1.107,0.373,0.239,0.071,5.8,6,1808.04
173,106,4,medium,66,0.01,0.0,0.423,1.191,0.258,0.117,0.079,49.5,1,978.66
174,6,5,medium,281,0.02,0.0,0.177,0.951,0.189,0.229,0.022,4.6,6,719.97
175,78,0,medium,17,0.0,0.0,0.124,1.21,0.189,0.146,0.054,57.1,29,162.68
176,125,8,medium,27,0.0,0.0,0.377,1.22,0.282,0.12,0.035,6.5,1,1326.71
177,180,19,micro,28,0.0,0.0,0.528,1.598,0.129,0.125,0.026,180.8,13,277.46
178,101,8,medium,49,0.0,0.0,0.079,0.595,0.163,0.137,0.028,52.6,5,97.45
179,59,16,small,75,0.01,0.0,0.199,1.395,0.189,0.199,0.031,58.4,27,393.68
180,87,11,medium,71,0.0,0.0,0.303,1.148,0.163,0.129,0.015,203.9,17,206.18
181,7,0,small,34,0.0,0.0,0.116,1.06,0.228,0.151,0.067,188.8,13,319.72
182,179,11,small,33,0.0,0.0,0.209,0.991,0.357,0.128,0.031,119.8,2,1808.04
183,5,18,small,5,0.0,0.0,0.435,0.891,0.129,0.034,0.03,43.6,16,117.43
184,0,11,micro,8,0.0,0.0,0.482,0.887,0.189,0.133,0.018,23.4,1,243.89
185,125,10,small,139,0.02,0.0,0.081,1.391,0.301,0.139,0.032,28.6,8,1326.71
186,34,13,small,5,0.0,0.0,0.203,0.985,0.228,0.201,0.027,15.2,12,337.83
187,71,17,micro,1,0.0,0.0,0.079,0.984,0.282,0.04,0.029,24.2,12,690.93
188,113,11,medium,142,0.0,0.0,0.147,0.829,0.378,0.246,0.033,12.5,1,1742.79
189,164,8,micro,23,0.0,0.0,0.457,0.797,0.189,0.142,0.028,9.3,9,388.92
190,88,0,small,71,0.01,0.0,0.534,1.228,0.129,0.201,0.065,171.2,1,87.38
191,185,2,micro,15,0.0,0.0,0.18,0.9,0.189,0.198,0.055,27.0,3,303.08
192,106,12,micro,21,0.0,0.0,0.451,1.298,0.228,0.162,0.025,96.2,2,978.66
193,179,12,small,2,0.0,0.0,0.759,1.059,0.318,0.203,0.05,4.6,3,1808.04
194,106,4,medium,7,0.0,0.0,0.045,1.406,0.258,0.209,0.072,58.8,27,978.66
195,113,14,large,938,0.05,0.01,0.315,0.938,0.326,0.141,0.029,1.5,3,1742.79
196,185,5,large,230,0.01,0.0,0.235,0.988,0.21,0.176,0.017,6.0,4,303.08
197,140,6,medium,45,0.0,0.0,0.319,1.128,0.21,0.067,0.021,49.9,4,186.32
198,34,1,micro,18,0.0,0.0,0.268,1.098,0.244,0.175,0.067,14.8,21,337.83
199,125,11,micro,13,0.0,0.0,0.185,1.081,0.339,0.129,0.041,23.6,11,1326.71
200,55,5,medium,706,0.04,0.01,0.29,1.368,0.163,0.162,0.027,43.6,3,376.64
201,71,16,medium,64,0.0,0.0,0.276,1.191,0.163,0.202,0.033,50.2,2,690.93
202,167,16,small,7,0.0,0.0,0.358,1.682,0.258,0.112,0.022,6.6,9,989.1
203,141,2,medium,48,0.0,0.0,0.282,1.118,0.244,0.151,0.075,0.3,4,548.48
204,68,3,medium,16,0.0,0.0,0.692,1.003,0.129,0.115,0.064,0.1,1,213.07
205,0,6,micro,8,0.0,0.0,0.453,1.571,0.163,0.188,0.029,64.3,1,243.89
206,113,11,small,17,0.0,0.0,0.042,0.774,0.378,0.27,0.029,21.4,22,1742.79
207,64,6,small,13,0.0,0.0,0.426,0.896,0.189,0.074,0.033,58.3,15,334.46
208,3,7,micro,10,0.0,0.0,0.727,0.644,0.21,0.224,0.021,14.5,16,680.64
209,9,2,micro,1,0.0,0.0,0.538,1.361,0.163,0.149,0.062,6.5,2,255.33
210,140,6,small,12,0.0,0.0,0.211,0.829,0.21,0.171,0.027,74.3,2,186.32
211,96,9,small,5,0.0,0.0,0.199,0.736,0.189,0.123,0.027,35.8,2,199.56
212,65,19,small,42,0.0,0.0,0.05,1.336,0.244,0.176,0.034,35.6,11,576.08
213,177,16,micro,6,0.0,0.0,0.191,0.939,0.189,0.075,0.026,123.3,20,634.94
214,167,15,micro,7,0.0,0.0,0.119,0.953,0.27,0.114,0.034,101.2,6,989.1
215,108,11,micro,14,0.0,0.0,0.387,1.257,0.129,0.139,0.023,101.8,10,192.01
216,67,7,small,109,0.01,0.0,0.246,0.612,0.163,0.149,0.034,65.4,7,404.86
217,113,17,medium,7,0.0,0.0,0.05,0.759,0.326,0.13,0.045,46.1,10,1742.79
218,156,6,large,136,0.01,0.0,0.488,0.983,0.21,0.138,0.027,87.9,2,958.89
219,2,11,micro,26,0.0,0.0,0.212,0.745,0.189,0.194,0.017,2.3,7,283.64
220,125,5,small,109,0.0,0.0,0.296,1.627,0.318,0.146,0.037,155.0,2,1326.71
221,148,15,medium,35,0.0,0.0,0.395,1.364,0.129,0.156,0.024,30.4,29,250.12
222,167,10,micro,7,0.0,0.0,0.215,1.058,0.301,0.23,0.036,5.5,3,989.1
223,54,17,small,5,0.0,0.0,0.533,1.133,0.189,0.09,0.024,30.8,3,416.13
224,52,11,large,143,0.01,0.0,0.167,0.792,0.163,0.061,0.017,21.6,11,75.42
225,54,3,medium,62,0.0,0.0,0.108,1.269,0.258,0.146,0.057,88.9,5,416.13
226,179,19,micro,1,0.0,0.0,0.499,1.443,0.318,0.236,0.035,64.1,8,1808.04
227,31,10,small,18,0.0,0.0,0.445,0.801,0.27,0.209,0.037,24.6,11,946.03
228,157,5,large,25,0.0,0.0,0.203,0.949,0.163,0.168,0.03,0.1,2,238.37
229,194,6,medium,23,0.0,0.0,0.429,1.057,0.163,0.083,0.026,0.3,31,176.48
230,181,2,small,45,0.0,0.0,0.196,0.657,0.129,0.086,0.054,66.5,11,62.98
231,94,1,medium,51,0.0,0.0,0.621,1.202,0.129,0.028,0.069,65.3,9,100.27
232,167,9,medium,116,0.01,0.0,0.28,1.407,0.292,0.205,0.029,26.5,5,989.1
233,138,19,micro,10,0.0,0.0,0.579,1.041,0.189,0.133,0.018,151.6,10,334.79
234,177,2,micro,6,0.0,0.0,0.463,1.431,0.301,0.061,0.06,2.3,2,634.94
235,39,18,small,8,0.0,0.0,0.513,0.86,0.163,0.062,0.017,26.3,2,180.7
236,158,15,micro,3,0.0,0.0,0.177,1.336,0.129,0.176,0.014,83.1,7,45.09
237,124,16,medium,183,0.01,0.0,0.148,1.374,0.163,0.043,0.028,16.2,5,266.9
238,116,14,large,82,0.0,0.0,0.319,0.97,0.129,0.167,0.03,31.7,7,143.35
239,154,11,medium,50,0.0,0.0,0.393,0.692,0.189,0.106,0.02,191.9,9,198.95
240,66,2,micro,12,0.0,0.0,0.19,1.287,0.129,0.051,0.061,18.8,1,138.1
241,13,11,small,12,0.0,0.0,0.375,1.016,0.163,0.01,0.025,173.6,3,21.91
242,113,7,small,51,0.0,0.0,0.184,1.319,0.31,0.223,0.03,46.4,2,1742.79
243,71,2,micro,3,0.0,0.0,0.117,0.676,0.163,0.119,0.063,15.5,3,690.93
244,64,16,large,192,0.06,0.04,0.705,2.188,0.228,0.036,0.014,39.0,14,334.46
245,198,10,small,15,0.0,0.0,0.483,0.781,0.129,0.096,0.031,11.6,6,157.31
246,50,14,micro,6,0.0,0.0,0.094,1.316,0.189,0.151,0.024,96.6,4,205.22
247,59,9,micro,1,0.0,0.0,0.145,1.1,0.189,0.185,0.027,3.1,6,393.68
248,75,11,small,11,0.0,0.0,0.233,0.895,0.163,0.212,0.032,4.8,5,337.61
249,113,14,small,8,0.0,0.0,0.133,1.208,0.326,0.217,0.031,84.1,4,1742.79
250,177,4,large,189,0.01,0.0,0.053,1.727,0.189,0.092,0.057,33.4,9,634.94
251,42,16,micro,3,0.0,0.0,0.135,1.412,0.189,0.179,0.028,54.5,7,132.2
252,125,8,micro,10,0.0,0.0,0.157,1.173,0.282,0.159,0.042,2.4,2,1326.71
253,82,14,large,584,0.03,0.01,0.335,1.336,0.129,0.104,0.027,34.4,12,650.6
254,164,6,medium,34,0.0,0.0,0.151,0.929,0.21,0.035,0.026,82.3,5,388.92
255,125,14,small,31,0.0,0.0,0.465,0.918,0.301,0.218,0.044,27.3,11,1326.71
256,164,0,micro,6,0.0,0.0,0.308,0.926,0.189,0.109,0.064,7.4,2,388.92
257,174,18,micro,4,0.0,0.0,0.358,0.946,0.228,0.029,0.017,8.3,2,195.72
258,179,15,large,465,0.02,0.01,0.471,0.826,0.326,0.225,0.039,8.9,1,1808.04
259,197,13,medium,112,0.0,0.0,0.057,1.243,0.129,0.083,0.027,21.7,14,173.08
260,125,6,micro,38,0.0,0.0,0.185,0.67,0.292,0.172,0.04,76.7,13,1326.71
261,131,16,small,10,0.0,0.0,0.186,0.676,0.163,0.141,0.027,16.5,10,158.95
262,31,15,medium,33,0.0,0.0,0.093,0.978,0.31,0.153,0.028,11.2,5,946.03
263,24,9,small,10,0.0,0.0,0.283,1.056,0.129,0.069,0.03,98.8,2,86.11
264,113,3,medium,27,0.0,0.0,0.495,1.261,0.318,0.268,0.079,19.7,24,1742.79
265,143,3,medium,80,0.0,0.0,0.39,1.259,0.163,0.113,0.055,12.5,35,178.51
266,62,9,small,25,0.0,0.0,0.079,0.897,0.129,0.095,0.025,162.5,33,49.09
267,73,15,small,9,0.0,0.0,0.265,0.852,0.244,0.206,0.023,40.6,48,709.56
268,145,14,medium,130,0.01,0.0,0.104,1.604,0.189,0.052,0.022,6.3,19,324.35
269,54,9,medium,73,0.0,0.0,0.415,0.599,0.228,0.118,0.025,72.1,11,416.13
270,113,4,small,64,0.01,0.0,0.487,0.997,0.326,0.183,0.078,6.1,1,1742.79
271,116,4,small,5,0.0,0.0,0.063,0.79,0.129,0.147,0.057,53.7,5,143.35
272,179,1,medium,29,0.0,0.0,0.134,2.729,0.352,0.12,0.073,34.2,11,1808.04
273,91,3,micro,9,0.0,0.0,0.272,0.512,0.129,0.16,0.057,52.1,16,390.98
274,54,0,large,57,0.0,0.0,0.191,2.09,0.228,0.131,0.062,92.9,2,416.13
275,41,13,small,13,0.0,0.0,0.473,1.14,0.189,0.208,0.016,77.8,22,176.16
276,71,11,small,58,0.0,0.0,0.438,1.528,0.189,0.084,0.035,138.8,4,690.93
277,67,19,medium,72,0.0,0.0,0.361,0.962,0.163,0.088,0.029,46.1,3,404.86
278,156,15,micro,16,0.0,0.0,0.477,1.492,0.21,0.177,0.026,25.9,1,958.89
279,125,4,small,25,0.01,0.0,0.398,1.602,0.228,0.237,0.069,76.9,6,1326.71
280,141,14,micro,32,0.0,0.0,0.411,1.152,0.189,0.051,0.032,44.2,21,548.48
281,128,0,small,11,0.0,0.0,0.197,1.059,0.129,0.056,0.058,81.1,14,163.96
282,113,19,micro,9,0.0,0.0,0.076,1.31,0.31,0.146,0.044,16.5,34,1742.79
