individual_id,city_id,age_group,age,education,monthly_income,monthly_rent,commute_minutes,commute_satisfaction,wechat_contacts,friends_met_weekly,loneliness_score,job_satisfaction,housing_satisfaction,life_satisfaction,well_being_score,city_population,pop_group
42,97,55+,60,硕士,10538.9,1136.4,5.6,8.1,5,4.7,4.3,4.2,10.0,3.6,4.5,192.68,2
43,115,26-35,30,硕士,9600.4,1121.5,18.8,9.8,15,3.6,4.8,7.2,7.7,4.4,4.8,200.65,2
44,162,18-25,22,高中及以下,3223.1,926.6,16.4,8.5,50,4.9,5.0,5.6,6.5,5.0,4.2,472.76,6
45,106,46-55,50,硕士,13597.1,3076.5,29.5,8.8,57,4.6,5.6,4.7,7.6,4.8,4.1,978.66,8
46,45,36-45,40,本科,5720.6,484.6,8.9,7.5,19,5.2,2.0,4.4,9.8,6.9,5.7,72.25,0
47,167,26-35,30,本科,12432.0,2111.0,35.8,6.3,35,4.1,5.7,7.5,4.0,5.8,4.1,989.1,8
48,53,36-45,40,博士,14273.9,1553.0,8.4,8.2,40,5.7,2.3,5.3,8.6,6.7,5.6,273.6,4
49,31,46-55,50,硕士,15111.7,2959.0,38.0,8.3,65,2.2,4.0,7.4,7.3,6.0,5.3,946.03,7
50,89,46-55,50,硕士,8892.2,1478.7,5.0,6.3,9,6.7,2.4,5.3,6.3,7.4,5.1,247.96,3
51,120,18-25,22,高中及以下,4283.2,2233.2,19.9,9.1,35,4.9,1.6,7.5,8.0,6.3,6.0,327.35,4
52,167,26-35,30,大专,6374.6,3870.3,35.3,7.1,60,4.9,5.5,8.9,9.1,5.2,5.8,989.1,8
53,37,26-35,30,高中及以下,3007.0,468.5,20.6,10.0,24,6.1,1.0,4.1,7.6,5.1,4.7,20.91,0
54,27,36-45,40,高中及以下,3458.9,1537.2,15.3,9.6,13,6.8,4.1,6.2,7.8,1.9,4.0,216.09,3
55,187,55+,60,本科,5212.8,339.7,15.4,8.3,14,4.4,4.0,7.3,9.4,7.5,6.3,137.99,1
56,159,18-25,22,高中及以下,3107.0,1815.8,18.9,8.4,5,4.4,3.0,5.3,10.0,5.6,5.5,286.16,4
57,91,26-35,30,大专,3339.9,1609.3,16.7,8.3,31,5.7,3.4,6.0,6.8,5.1,4.6,390.98,5
58,154,36-45,40,本科,6899.0,1289.2,10.4,8.5,48,5.4,3.4,3.0,7.2,4.2,3.6,198.95,2
59,34,55+,60,本科,9114.2,946.7,17.2,9.4,14,8.0,3.2,8.7,10.0,6.0,6.6,337.83,5
60,18,46-55,50,本科,7165.7,200.0,8.5,8.8,5,5.2,2.1,3.7,9.0,6.0,5.0,59.86,0
61,85,46-55,50,硕士,8965.5,1721.7,11.2,9.5,11,4.6,3.1,4.5,9.5,4.6,4.9,89.86,0
62,167,26-35,30,硕士,6388.8,2933.7,28.0,8.1,59,0.7,5.2,5.6,9.0,3.5,4.4,989.1,8
63,54,36-45,40,硕士,12746.7,2323.8,10.9,6.8,17,3.9,3.3,5.8,7.7,6.3,5.2,416.13,5
64,27,55+,60,大专,3647.7,1345.4,17.9,8.5,5,4.9,3.2,7.7,10.0,7.4,6.7,216.09,3
65,122,36-45,40,博士,10168.7,2194.8,23.8,9.3,39,6.0,3.2,5.2,6.5,6.4,4.7,603.53,6
66,187,46-55,50,博士,14161.3,200.0,14.7,9.6,28,6.6,2.0,2.8,5.7,5.2,3.6,137.99,1
67,61,36-45,40,大专,5032.3,1083.0,16.6,8.6,14,5.2,2.7,5.5,9.4,3.2,4.8,123.27,1
68,114,46-55,50,本科,7408.9,1631.4,13.6,10.0,34,6.5,4.4,6.2,9.1,5.8,5.4,122.44,1
69,154,18-25,22,本科,6715.0,1549.0,15.2,9.8,39,4.7,2.8,5.6,5.4,3.3,3.7,198.95,2
70,76,36-45,40,高中及以下,3882.3,1302.8,14.9,6.8,42,6.6,2.9,5.5,8.8,8.5,6.1,161.91,1
71,73,26-35,30,大专,7054.3,2807.3,29.7,7.3,60,4.7,4.2,3.1,8.0,4.5,3.9,709.56,7
72,135,26-35,30,高中及以下,2566.0,2299.2,21.9,8.6,49,5.6,2.8,4.8,7.8,5.8,4.9,699.2,7
73,102,18-25,22,硕士,6583.0,971.7,11.6,9.4,29,5.1,1.3,6.8,7.9,3.4,5.0,105.35,0
74,179,26-35,30,本科,8850.5,5709.5,50.0,5.3,56,3.3,4.8,6.9,6.7,6.0,4.9,1808.04,9
75,31,46-55,50,博士,23368.9,2928.7,26.5,8.5,53,5.0,4.4,4.3,5.2,5.9,3.8,946.03,7
76,82,36-45,40,博士,16810.3,1326.7,33.2,7.5,48,4.2,4.4,6.8,6.5,7.3,5.3,650.6,7
77,3,26-35,30,高中及以下,3578.4,2592.8,21.6,7.3,49,4.5,5.7,4.3,8.3,5.1,4.2,680.64,7
78,47,36-45,40,硕士,10798.8,607.4,23.0,8.3,25,5.0,2.1,6.8,9.1,6.3,6.0,427.14,6
79,93,46-55,50,高中及以下,2442.1,509.6,7.3,6.6,20,6.2,2.5,7.5,7.7,6.3,5.8,106.95,0
80,82,46-55,50,博士,21857.3,2267.8,19.5,9.2,39,3.1,6.2,5.5,8.1,3.4,4.0,650.6,7
81,73,26-35,30,博士,19457.7,2408.4,37.5,7.8,61,5.4,3.6,4.4,6.3,5.5,4.1,709.56,7
82,5,26-35,30,大专,4558.7,653.4,9.9,9.1,38,6.5,3.4,2.9,7.7,4.4,3.8,117.43,1
83,122,26-35,30,博士,18330.0,2126.8,24.6,8.7,40,6.1,3.2,5.9,6.6,5.1,4.6,603.53,6
84,178,26-35,30,硕士,11937.3,388.5,16.6,8.9,5,5.6,2.9,4.3,8.5,4.4,4.5,113.9,1
85,66,26-35,30,本科,7081.9,904.5,18.5,10.0,18,6.8,3.2,5.6,10.0,2.7,4.8,138.1,1
86,69,55+,60,高中及以下,2908.8,543.9,6.9,9.5,17,7.3,2.6,5.9,9.1,3.9,5.0,77.86,0
87,138,18-25,22,硕士,10351.3,1547.7,15.5,8.6,22,5.5,3.6,5.2,8.4,5.0,4.8,334.79,4
88,159,18-25,22,博士,11142.6,1773.1,17.4,7.9,32,5.6,5.0,5.9,7.1,4.8,4.4,286.16,4
89,179,46-55,50,硕士,16729.3,4318.5,57.4,7.7,91,2.6,5.9,9.6,1.6,5.0,3.8,1808.04,9
90,71,26-35,30,高中及以下,4490.0,2006.4,32.7,7.5,15,3.1,4.5,6.3,7.0,5.0,4.6,690.93,7
91,73,26-35,30,高中及以下,4571.0,2752.2,23.0,7.8,76,4.1,4.7,6.9,6.1,6.5,4.9,709.56,7
92,122,26-35,30,本科,6696.2,1422.8,17.4,8.1,10,4.1,3.5,5.0,5.4,6.5,4.3,603.53,6
93,60,55+,60,大专,3896.6,1458.6,13.6,7.5,40,6.9,2.4,6.3,10.0,5.7,5.9,91.91,0
94,52,26-35,30,本科,7977.2,461.3,9.6,7.6,18,6.9,4.0,4.8,6.4,4.5,3.9,75.42,0
95,76,46-55,50,大专,3890.0,200.0,9.2,7.3,15,5.4,2.6,5.5,8.4,4.0,4.7,161.91,1
96,48,55+,60,本科,8697.2,1470.2,15.1,9.2,30,6.2,2.2,5.4,8.6,4.2,4.9,209.27,3
97,34,18-25,22,硕士,7038.7,1661.0,19.9,7.9,21,6.1,4.8,5.2,6.7,3.9,3.8,337.83,5
98,157,26-35,30,本科,8659.3,668.5,18.3,9.5,20,5.0,4.3,1.1,6.6,2.7,2.4,238.37,3
99,167,26-35,30,本科,9576.0,2912.2,33.7,7.9,41,4.8,5.6,7.5,7.4,4.2,4.7,989.1,8
100,195,26-35,30,高中及以下,2761.8,1234.1,9.6,8.2,25,4.3,3.1,6.3,8.5,5.0,5.2,218.18,3
101,73,18-25,22,大专,5955.2,1960.9,28.8,9.4,16,5.2,3.2,3.9,6.7,5.5,4.1,709.56,7
102,167,36-45,40,高中及以下,5159.6,3365.2,31.8,7.0,53,3.9,6.0,5.8,8.0,6.9,5.1,989.1,8
103,11,26-35,30,本科,8375.4,1389.1,15.7,9.0,21,6.1,2.6,6.5,8.3,6.7,5.8,93.16,0
104,112,18-25,22,高中及以下,3252.8,1021.7,8.8,7.8,27,6.8,1.5,3.3,9.0,6.7,5.2,157.63,1
105,24,26-35,30,本科,6256.5,200.0,18.7,7.3,25,6.4,2.4,8.3,8.0,6.4,6.1,86.11,0
106,59,46-55,50,硕士,9996.5,1093.0,18.6,8.8,53,4.3,4.2,5.2,8.0,3.3,4.1,393.68,5
107,41,36-45,40,大专,6828.6,922.3,22.0,8.7,20,5.0,2.5,6.0,7.6,4.9,4.9,176.16,2
108,102,36-45,40,大专,3467.7,200.0,16.6,8.1,23,5.1,2.1,5.2,7.8,5.3,4.9,105.35,0
109,93,36-45,40,硕士,8337.0,200.0,15.0,8.7,21,5.0,2.5,2.5,6.6,5.1,3.7,106.95,0
110,93,26-35,30,大专,4549.3,1428.1,11.0,10.0,30,5.1,3.3,6.6,10.0,4.5,5.6,106.95,0
111,53,26-35,30,本科,8001.6,1852.5,15.1,9.3,18,7.0,1.0,7.8,5.0,2.8,4.3,273.6,4
112,167,26-35,30,本科,8144.3,3796.4,33.9,6.7,47,4.9,6.6,6.8,6.2,5.3,4.3,989.1,8
113,36,36-45,40,本科,6345.9,849.4,20.2,7.7,6,4.8,3.7,5.7,8.7,4.2,4.8,182.89,2
114,156,26-35,30,博士,27779.7,2881.6,25.0,6.4,49,5.1,5.4,7.1,6.4,6.1,4.8,958.89,8
115,179,46-55,50,大专,6123.8,5059.6,60.7,5.9,71,2.5,7.4,5.6,2.3,4.6,2.5,1808.04,9
116,75,26-35,30,大专,4257.2,853.2,14.6,7.0,25,6.6,4.2,4.4,7.1,6.3,4.5,337.61,5
117,141,36-45,40,硕士,11338.2,1977.5,22.8,7.2,32,4.5,3.7,8.9,6.1,8.0,6.0,548.48,6
118,156,18-25,22,博士,13453.1,3309.9,30.4,6.4,51,2.5,4.3,7.8,6.3,2.6,4.2,958.89,8
119,78,36-45,40,大专,4588.9,730.5,20.1,7.7,28,4.9,3.9,2.7,6.8,8.2,4.5,162.68,1
120,106,36-45,40,大专,7425.5,2714.1,42.3,7.7,56,4.9,4.2,5.3,5.8,5.4,4.1,978.66,8
121,3,46-55,50,硕士,8534.8,1953.3,19.9,7.1,38,5.9,2.3,5.7,7.5,4.7,4.8,680.64,7
122,51,46-55,50,硕士,11433.8,1120.9,15.8,8.6,26,6.4,4.3,4.0,4.9,6.3,3.7,100.98,0
123,113,18-25,22,本科,11693.9,4303.7,53.7,7.0,80,2.6,6.7,10.0,6.8,2.3,4.5,1742.79,9
124,55,46-55,50,本科,6774.9,1980.9,22.8,8.6,48,3.9,2.0,9.2,7.9,3.6,5.6,376.64,5
125,60,26-35,30,高中及以下,2642.3,309.6,11.0,8.4,5,5.4,2.5,4.3,6.8,8.2,5.2,91.91,0
126,78,36-45,40,大专,4396.0,430.3,11.8,10.0,50,5.6,2.6,6.7,7.6,8.3,6.1,162.68,1
127,133,26-35,30,高中及以下,3125.0,1036.2,19.0,10.0,34,6.2,4.0,7.4,8.3,4.2,5.1,238.31,3
128,113,18-25,22,硕士,20368.7,5038.6,55.2,5.5,75,2.8,7.0,7.4,5.7,4.6,4.1,1742.79,9
129,30,18-25,22,本科,6202.5,216.2,11.6,9.2,22,5.9,2.4,5.7,5.1,4.4,4.0,81.31,0
130,106,18-25,22,博士,23296.1,2376.0,27.9,8.5,28,2.9,3.5,4.0,8.0,4.3,4.2,978.66,8
131,31,36-45,40,本科,6467.9,2877.0,29.5,6.2,76,3.6,4.5,7.2,5.8,3.3,4.0,946.03,7
132,96,46-55,50,大专,4094.3,1276.7,22.0,8.3,22,6.0,3.3,1.9,8.1,5.4,3.9,199.56,2
133,179,55+,60,本科,15113.4,4450.6,48.9,6.2,77,1.6,5.6,6.8,4.5,3.7,3.5,1808.04,9
134,113,46-55,50,博士,22866.2,5391.9,57.4,6.8,68,3.6,6.9,6.7,3.9,6.5,3.9,1742.79,9
135,199,26-35,30,硕士,14412.8,841.7,14.9,8.2,19,5.4,2.3,6.5,8.3,3.6,4.9,47.32,0
136,82,55+,60,本科,5961.6,1338.4,22.9,6.5,30,5.7,5.1,4.9,5.6,4.8,3.6,650.6,7
137,40,18-25,22,本科,11230.5,1998.9,20.7,8.5,24,6.3,5.6,8.7,6.3,7.0,5.5,310.59,4
138,175,46-55,50,本科,8942.8,1228.0,14.0,7.3,6,4.3,3.3,6.2,6.2,3.4,4.0,339.4,5
139,45,26-35,30,大专,3902.6,1560.4,15.5,9.4,34,5.1,1.0,4.3,8.5,6.0,5.2,72.25,0
140,118,55+,60,硕士,10306.5,1340.4,24.5,8.9,9,6.3,2.6,7.5,8.1,6.5,5.9,465.37,6
141,91,46-55,50,本科,4829.2,769.4,16.8,7.7,15,5.2,2.8,5.8,6.5,8.6,5.6,390.98,5
142,183,46-55,50,硕士,9414.4,416.2,6.1,7.5,53,4.5,4.4,3.0,8.0,4.9,3.9,240.44,3
143,179,26-35,30,高中及以下,5477.7,4837.7,62.5,5.8,84,2.7,4.7,8.4,6.1,4.1,4.6,1808.04,9
144,135,18-25,22,硕士,10865.5,2171.9,17.2,6.5,28,5.3,2.1,5.6,5.1,2.3,3.4,699.2,7
145,175,26-35,30,高中及以下,3436.4,1343.0,12.4,9.9,35,4.8,2.7,5.8,10.0,7.2,6.2,339.4,5
146,54,36-45,40,硕士,12012.0,1075.0,15.6,8.8,47,5.4,2.1,9.8,5.5,5.4,5.6,416.13,5
147,106,55+,60,本科,7031.5,2328.7,31.8,9.3,51,4.9,4.2,4.3,8.0,3.2,3.8,978.66,8
148,187,46-55,50,高中及以下,4142.5,245.6,16.7,8.5,31,5.0,3.6,4.3,7.3,6.4,4.6,137.99,1
149,82,26-35,30,本科,6182.4,1861.5,27.6,6.3,5,5.8,4.0,5.8,7.3,5.4,4.7,650.6,7
150,131,18-25,22,博士,13710.8,342.8,17.2,9.4,43,3.8,2.6,2.6,6.4,7.2,4.3,158.95,1
151,61,46-55,50,博士,12003.8,200.0,16.0,8.1,41,5.2,2.5,3.4,8.8,5.6,4.7,123.27,1
152,120,55+,60,高中及以下,2572.1,1533.4,17.9,8.9,58,4.7,2.8,3.3,7.9,4.2,4.0,327.35,4
153,95,36-45,40,本科,8751.5,200.0,15.2,10.0,6,5.7,2.0,5.2,8.3,5.3,5.1,34.35,0
154,7,18-25,22,高中及以下,3105.4,376.0,21.0,8.7,31,6.5,4.8,5.9,10.0,5.4,5.4,319.72,4
155,149,18-25,22,硕士,8613.2,752.9,10.5,7.1,28,6.8,2.8,4.9,6.9,3.0,3.8,199.73,2
156,48,55+,60,博士,15319.9,1005.9,14.1,7.9,9,7.6,4.3,3.7,5.8,5.3,3.6,209.27,3
157,125,55+,60,本科,9716.4,4137.5,37.6,6.0,78,2.8,4.2,7.0,5.3,5.4,4.5,1326.71,8
158,127,18-25,22,硕士,8913.1,1148.5,17.6,8.2,17,6.4,1.9,3.1,8.5,6.4,4.9,84.24,0
159,154,36-45,40,大专,3976.9,506.8,18.0,10.0,51,5.6,4.1,3.8,6.3,5.5,3.9,198.95,2
160,107,18-25,22,硕士,9691.9,1125.4,13.1,8.2,28,5.8,3.4,2.9,8.2,5.2,4.2,176.72,2
161,167,26-35,30,博士,25866.5,3366.7,36.5,6.4,49,5.0,4.4,6.0,7.0,7.5,5.2,989.1,8
162,86,26-35,30,硕士,9087.9,1133.8,18.2,9.8,42,5.2,3.9,8.4,5.8,7.5,5.6,370.7,5
163,82,46-55,50,本科,9391.1,1767.6,28.9,6.6,51,6.5,4.6,5.3,6.8,7.7,5.0,650.6,7
164,99,55+,60,高中及以下,2626.5,1361.2,6.6,8.3,5,7.2,1.6,2.2,9.4,6.7,5.0,117.38,1
165,177,18-25,22,大专,4865.8,1399.8,37.4,8.9,50,4.0,4.4,4.3,6.2,5.9,4.1,634.94,6
166,151,36-45,40,高中及以下,3554.8,640.9,21.5,8.0,32,6.6,3.7,4.2,6.6,6.1,4.3,209.86,3
167,125,46-55,50,大专,7522.4,3369.9,41.1,4.8,84,3.4,6.4,6.4,3.0,7.2,3.8,1326.71,8
168,145,46-55,50,高中及以下,2448.3,2435.8,12.7,10.0,59,5.0,3.3,5.8,9.5,5.4,5.4,324.35,4
169,156,26-35,30,大专,4380.4,3317.4,26.1,7.4,55,2.9,4.4,4.9,6.8,6.4,4.5,958.89,8
170,128,36-45,40,高中及以下,2587.8,1238.2,17.0,10.0,5,5.5,1.8,1.0,7.3,8.1,4.4,163.96,2
171,106,46-55,50,本科,7282.7,3175.2,37.3,6.3,70,4.2,4.3,4.7,6.6,3.8,3.7,978.66,8
172,54,55+,60,高中及以下,3753.0,1637.6,19.7,7.3,13,6.8,3.4,5.0,7.4,4.3,4.3,416.13,5
173,179,46-55,50,本科,6741.7,5731.5,58.3,4.8,81,3.1,5.4,9.2,7.4,4.8,5.3,1808.04,9
174,149,46-55,50,高中及以下,2685.8,1372.1,14.4,7.9,17,5.4,3.4,5.3,8.6,5.9,5.2,199.73,2
175,58,46-55,50,高中及以下,3681.1,595.9,12.2,9.0,36,3.8,2.9,6.9,8.8,5.9,5.8,206.7,3
176,177,46-55,50,高中及以下,4197.5,2038.6,27.1,7.0,34,5.1,3.7,5.8,8.5,5.8,5.2,634.94,6
177,152,26-35,30,高中及以下,3445.8,505.3,10.7,8.5,21,5.9,2.4,5.2,9.9,4.7,5.3,75.19,0
178,125,46-55,50,硕士,11271.8,4130.8,47.6,7.9,69,4.3,5.9,6.9,2.4,4.6,3.1,1326.71,8
179,93,26-35,30,高中及以下,3292.4,200.0,14.2,8.5,16,4.7,2.9,4.9,7.0,7.1,5.0,106.95,0
180,106,26-35,30,本科,7197.3,3804.7,29.8,7.3,68,4.4,6.3,5.7,7.8,2.7,3.7,978.66,8
181,107,18-25,22,高中及以下,3091.4,1361.5,14.2,7.7,50,7.6,1.7,6.3,7.5,4.7,5.0,176.72,2
182,122,36-45,40,本科,9901.3,1564.7,21.6,8.8,33,4.9,2.2,5.3,7.2,8.3,5.6,603.53,6
183,76,26-35,30,本科,9632.3,245.0,11.6,6.6,15,6.8,3.2,7.5,9.5,7.6,6.6,161.91,1
184,94,26-35,30,高中及以下,2974.6,528.7,5.0,7.7,41,5.6,2.8,2.3,8.3,4.2,3.8,100.27,0
185,75,26-35,30,本科,9298.6,1542.6,14.3,8.2,49,5.6,2.7,3.3,7.3,4.4,3.9,337.61,5
186,191,36-45,40,大专,3960.9,2182.4,14.2,9.0,23,6.7,1.8,5.2,6.2,7.3,5.1,349.46,5
187,106,55+,60,博士,17919.1,1696.8,45.9,6.5,74,6.0,4.1,4.9,6.5,5.7,4.3,978.66,8
188,156,18-25,22,本科,7001.6,2152.1,36.3,8.4,45,5.7,4.2,7.0,7.0,4.8,4.8,958.89,8
189,96,26-35,30,高中及以下,2310.3,967.4,17.5,10.0,53,6.0,2.8,3.8,5.8,4.3,3.6,199.56,2
190,169,36-45,40,硕士,9627.4,881.1,11.8,10.0,14,6.8,1.3,4.7,7.7,6.4,5.2,69.84,0
191,71,26-35,30,大专,4418.9,2417.6,27.0,7.3,61,4.3,5.0,7.6,5.5,4.3,4.3,690.93,7
192,67,55+,60,本科,9572.5,1690.6,14.5,7.8,30,4.7,3.9,5.0,8.0,7.1,5.2,404.86,5
193,6,36-45,40,高中及以下,4594.0,2140.8,35.0,7.6,29,5.3,1.8,7.9,6.2,6.9,5.7,719.97,7
194,106,36-45,40,博士,15734.6,4082.0,36.0,7.7,56,3.6,5.6,6.7,6.9,5.2,4.6,978.66,8
195,156,55+,60,高中及以下,5459.7,2462.8,39.5,8.5,67,3.2,5.0,10.0,8.0,4.0,5.6,958.89,8
196,59,46-55,50,大专,7137.4,1648.9,12.5,9.0,5,6.1,3.3,8.3,4.6,4.6,4.5,393.68,5
197,75,26-35,30,大专,4381.4,1826.1,30.4,9.8,41,4.6,3.6,6.9,7.8,7.0,5.7,337.61,5
198,46,36-45,40,本科,4369.1,931.7,15.4,8.9,22,6.9,2.4,3.3,6.8,6.1,4.3,93.63,0
199,22,18-25,22,大专,4549.6,1543.9,5.0,8.4,6,6.7,3.2,4.2,10.0,5.4,5.1,158.78,1
200,177,36-45,40,硕士,10296.9,2180.5,23.0,6.3,51,3.8,2.1,5.6,7.6,8.4,5.9,634.94,6
201,120,46-55,50,本科,6476.4,1354.8,18.6,8.8,20,6.0,4.8,6.8,4.6,4.3,3.8,327.35,4
202,177,26-35,30,本科,8405.6,2281.4,18.2,9.0,45,4.5,4.1,5.1,9.5,6.6,5.5,634.94,6
203,3,46-55,50,硕士,11542.2,2924.5,19.6,6.3,69,4.6,3.5,7.7,7.4,5.6,5.4,680.64,7
204,1,18-25,22,硕士,9842.2,200.0,12.2,8.5,18,5.0,2.6,6.2,5.4,4.1,4.1,129.25,1
205,119,26-35,30,硕士,12493.8,656.7,24.0,8.3,33,6.6,2.8,6.4,8.2,5.8,5.4,314.8,4
206,113,36-45,40,本科,10958.6,5327.2,64.4,7.8,83,3.3,4.8,5.6,5.4,6.7,4.4,1742.79,9
207,73,46-55,50,硕士,12461.5,2175.4,30.1,8.3,17,4.5,5.3,5.2,8.8,5.5,4.8,709.56,7
208,85,36-45,40,本科,7112.4,745.8,7.6,9.8,9,4.3,3.0,4.3,7.8,5.7,4.7,89.86,0
209,3,26-35,30,高中及以下,3347.2,2157.3,34.9,8.5,28,4.1,3.3,5.8,5.7,2.8,3.6,680.64,7
210,159,18-25,22,大专,4629.3,1739.8,14.3,6.9,19,5.2,3.1,5.7,7.3,3.4,4.2,286.16,4
211,91,26-35,30,本科,5549.0,934.2,24.9,9.6,40,3.4,3.3,3.7,5.3,5.5,3.7,390.98,5
212,151,36-45,40,高中及以下,2697.0,1342.6,12.8,9.5,19,5.4,2.1,6.3,5.9,5.5,4.8,209.86,3
213,180,26-35,30,硕士,12432.2,1181.6,18.9,6.5,47,5.8,1.9,5.6,5.8,6.3,4.8,277.46,4
214,2,26-35,30,硕士,8223.1,999.7,25.4,8.9,17,5.9,2.7,6.3,7.2,4.0,4.6,283.64,4
215,154,36-45,40,高中及以下,3363.6,408.8,14.8,8.4,15,6.5,3.8,5.6,8.4,6.9,5.4,198.95,2
